doctor_id,doctor_name,specialization,hospital_id,availability_status
D001,Doctor_1,Cardiology,H02,Busy
D002,Doctor_2,Dermatology,H01,Busy
D003,Doctor_3,Pediatrics,H03,Available
D004,Doctor_4,Orthopedics,H01,Busy
D005,Doctor_5,Dermatology,H03,Busy
D006,Doctor_6,Pediatrics,H03,Offline
D007,Doctor_7,Dermatology,H02,Busy
D008,Doctor_8,Neurology,H01,Available
D009,Doctor_9,Neurology,H03,Offline
D010,Doctor_10,Neurology,H01,Busy
D011,Doctor_11,Pediatrics,H01,Busy
D012,Doctor_12,Orthopedics,H01,Offline
D013,Doctor_13,Orthopedics,H01,Busy
D014,Doctor_14,Cardiology,H01,Available
D015,Doctor_15,Pediatrics,H03,Busy
D016,Doctor_16,Neurology,H02,Busy
D017,Doctor_17,Dermatology,H03,Available
D018,Doctor_18,Pediatrics,H01,Busy
D019,Doctor_19,Orthopedics,H02,Busy
D020,Doctor_20,Neurology,H02,Available
